year,position,song,artist_main,artist_full,song_and_artist,avg_rank,peak_rank,weeks_on_board
1984,53,Run To You,Bryan Adams,Bryan Adams,Run To You - Bryan Adams,30.56,12,45
1984,54,Say It Isn't So,Daryl Hall John Oates,Daryl Hall John Oates,Say It Isn't So - Daryl Hall John Oates,30.88,2,116
1984,55,Girls Just Want To Have Fun,Cyndi Lauper,Cyndi Lauper,Girls Just Want To Have Fun - Cyndi Lauper,31.14,2,319
1984,56,99 Luftballons,Nena,Nena,99 Luftballons - Nena,31.26,2,266
1984,57,You Might Think,The Cars,The Cars,You Might Think - The Cars,31.35,7,153
1984,58,Do What You Do,Jermaine Jackson,Jermaine Jackson,Do What You Do - Jermaine Jackson,31.5,17,55
1984,59,Hello Again,The Cars,The Cars,Hello Again - The Cars,31.6,20,55
1984,60,Let The Music Play,Shannon,Shannon,Let The Music Play - Shannon,31.75,8,264
1984,61,Cool It Now,New Edition,New Edition,Cool It Now - New Edition,31.8,5,120
1984,62,Missing You,John Waite,John Waite,Missing You - John Waite,31.92,1,300
1984,63,Say Say Say,Paul McCartney And Michael Jackson,Paul McCartney And Michael Jackson,Say Say Say - Paul McCartney And Michael Jackson,32.0,1,175
1984,64,What's Love Got To Do With It,Tina Turner,Tina Turner,What's Love Got To Do With It - Tina Turner,32.11,1,406
1984,65,You're The Inspiration,Chicago,Chicago,You're The Inspiration - Chicago,32.14,15,28
1984,66,The Heart Of Rock & Roll,Huey Lewis and The News,Huey Lewis & The News,The Heart Of Rock & Roll - Huey Lewis and The News,32.3,6,210
1984,67,I Want A New Drug,Huey Lewis and The News,Huey Lewis & The News,I Want A New Drug - Huey Lewis and The News,32.37,6,190
1984,68,Sad Songs (say So Much),Elton John,Elton John,Sad Songs (say So Much) - Elton John,32.58,5,190
1984,69,I Can't Hold Back,Survivor,Survivor,I Can't Hold Back - Survivor,32.75,13,136
1984,70,Understanding,Bob Seger,Bob Seger,Understanding - Bob Seger,32.88,19,36
1984,71,Here Comes The Rain Again,Eurythmics,Eurythmics,Here Comes The Rain Again - Eurythmics,32.95,4,210
1984,72,Desert Moon,Dennis DeYoung,Dennis DeYoung,Desert Moon - Dennis DeYoung,33.0,10,153
1984,73,Head Over Heels,Go-Go's,Go-Go's,Head Over Heels - Go-Go's,33.0,11,136
1984,74,Union Of The Snake,Duran Duran,Duran Duran,Union Of The Snake - Duran Duran,33.12,3,108
1984,75,It Ain't Enough,Corey Hart,Corey Hart,It Ain't Enough - Corey Hart,33.29,17,105
1984,76,Automatic,The Pointer Sisters,The Pointer Sisters,Automatic - The Pointer Sisters,33.4,5,210
1984,77,Middle Of The Road,Pretenders,Pretenders,Middle Of The Road - Pretenders,33.64,19,99
1984,78,They Don't Know,Tracey Ullman,Tracey Ullman,They Don't Know - Tracey Ullman,33.76,8,153
1984,79,The Warrior,Scandal,Scandal Featuring Patty Smyth,The Warrior - Scandal,33.81,7,231
1984,80,Adult Education,Daryl Hall John Oates,Daryl Hall John Oates,Adult Education - Daryl Hall John Oates,34.06,8,153
1984,81,Cover Me,Bruce Springsteen,Bruce Springsteen,Cover Me - Bruce Springsteen,34.44,7,171
1984,82,Thriller,Michael Jackson,Michael Jackson,Thriller - Michael Jackson,34.5,4,105
1984,83,I'll Wait,Van Halen,Van Halen,I'll Wait - Van Halen,34.5,13,105
1984,84,An Innocent Man,Billy Joel,Billy Joel,An Innocent Man - Billy Joel,34.73,10,165
1984,85,Wrapped Around Your Finger,The Police,The Police,Wrapped Around Your Finger - The Police,34.81,8,136
1984,86,Got A Hold On Me,Christine McVie,Christine McVie,Got A Hold On Me - Christine McVie,34.94,10,136
